#  N_Simpson  Simpsons  
#-----------------------------------------
2.517195897949974  -11.45216069498869
2.519827993775719  -11.4625889837845
2.52244423350632  -11.47312398177847
2.525044807036845  -11.48361378082864
2.527629900871339  -11.49412726583784
2.530199698203082  -11.50447188877336
2.532754378992498  -11.51482145429147
2.53529412004277  -11.52494506786725
2.537819095073274  -11.53516624296899
2.540329474790874  -11.54522081693855
2.54282542695918  -11.55545332017647
2.545307116465824  -11.56528382727996
2.547774705387822  -11.57524722420814
2.550228353055094  -11.58518589301199
2.552668216112193  -11.59496042400582
2.555094448578319  -11.60502769077372
2.557507201905658  -11.6147106332023
2.559906625036112  -11.62440206298618
2.562292864456475  -11.63395288454597
2.564666064252089  -11.64360752120919
2.56702636615906  -11.65325475183603
2.569373909615046  -11.66265725254814
2.571708831808688  -11.67203087862296
